stop_loss,trailing,rebalance,top_n,lookback,ema,return,sharpe,max_dd,trades,stopped,alpha
None,False,M,3,21,None,918.8173913693814,0.9290807006359427,-75.26039802099021,131,0,790.4822594894808
None,False,M,3,21,20,728.7075961148657,0.88042624482487,-75.8291416906313,132,0,600.3724642349652
None,False,M,3,21,50,718.2947763475984,0.8757340548203466,-76.01219180583062,131,0,589.9596444676978
None,False,M,3,21,100,1952.314002672761,1.1432401454801726,-61.96082036411853,122,0,1823.9788707928606
None,False,M,3,42,None,224.9884685214655,0.6456301608360582,-91.96691971906021,112,0,96.65333664156495
None,False,M,3,42,20,108.81199717608428,0.527940990372955,-91.91808899685363,120,0,-19.523134703816282
None,False,M,3,42,50,114.44489408902574,0.5391363536674558,-93.15486214838903,115,0,-13.89023779087482
None,False,M,3,42,100,338.96055631433313,0.7383221101779824,-88.80015231553234,105,0,210.62542443443257
None,False,M,3,63,None,6307.013858083941,1.3810246039488199,-62.698000334608494,87,0,6178.678726204041
None,False,M,3,63,20,2336.505031261469,1.1890608653439985,-61.13921300979579,105,0,2208.1698993815685
None,False,M,3,63,50,2094.456147786531,1.1499243972126763,-74.8396644466803,97,0,1966.1210159066304
None,False,M,3,63,100,4843.088190103804,1.3515318953938884,-66.5263145799153,84,0,4714.753058223903
None,False,M,5,21,None,769.1855428725356,0.948544836651978,-71.81609987313325,210,0,640.850410992635
None,False,M,5,21,20,627.6106979588651,0.9021224850465354,-73.35720314917515,214,0,499.2755660789645
None,False,M,5,21,50,660.7353279693887,0.9145239229164043,-73.21088131924397,211,0,532.4001960894881
None,False,M,5,21,100,1059.173185717532,1.0855388137374093,-61.31836697675843,200,0,930.8380538376315
None,False,M,5,42,None,415.73678588941954,0.7832233156864914,-87.10930275479338,185,0,287.401654009519
None,False,M,5,42,20,201.62787212121157,0.6268483883122554,-85.54732256957979,188,0,73.29274024131101
None,False,M,5,42,50,227.65060732966066,0.6514060846510176,-89.24011243947022,187,0,99.3154754497601
None,False,M,5,42,100,530.8839679204175,0.8693519669743126,-83.70517261441051,168,0,402.5488360405169
None,False,M,5,63,None,3312.4157176199105,1.3487572863996513,-54.788132784913614,147,0,3184.08058574001
None,False,M,5,63,20,1113.1018751784227,1.0863042226552049,-58.28241348916298,171,0,984.7667432985221
None,False,M,5,63,50,1570.5269540666013,1.169747654979401,-67.16533088131042,154,0,1442.1918221867008
None,False,M,5,63,100,2471.8386780420583,1.2958941438967255,-60.87731834009211,139,0,2343.503546162158
None,False,M,7,21,None,596.8006288011997,0.926594521444188,-68.34624305531479,290,0,468.46549692129906
None,False,M,7,21,20,503.2115312060221,0.8963681193696004,-70.09735618977003,296,0,374.8763993261215
None,False,M,7,21,50,522.5203641709587,0.8996061718993128,-70.49991799678168,291,0,394.1852322910581
None,False,M,7,21,100,657.8480545933971,1.014266838151069,-59.28924988085977,277,0,529.5129227134966
None,False,M,7,42,None,465.90036132892516,0.8442537168267209,-80.92513975764439,252,0,337.5652294490246
None,False,M,7,42,20,260.9051394046291,0.706811357282698,-79.13158983993962,257,0,132.57000752472854
None,False,M,7,42,50,288.4857202202428,0.7222418599935779,-84.24805132647282,255,0,160.15058834034224
None,False,M,7,42,100,573.941725682971,0.9402709391212873,-74.2612957308878,229,0,445.6065938030704
None,False,M,7,63,None,2118.450319145384,1.3164639981815736,-51.2517110395584,202,0,1990.1151872654837
None,False,M,7,63,20,868.705343935086,1.0996367933127602,-54.571176257354146,236,0,740.3702120551854
None,False,M,7,63,50,828.3528339724887,1.0490785360468118,-66.9551439001631,213,0,700.0177020925881
None,False,M,7,63,100,1414.7660702349744,1.2201886567133917,-59.41739672079098,194,0,1286.430938355074
None,False,M,10,21,None,588.3845606007126,0.994372153579208,-53.264167113412434,412,0,460.049428720812
None,False,M,10,21,20,492.0513854942213,0.9504262083898808,-56.271885164746614,412,0,363.71625361432075
None,False,M,10,21,50,505.4530029966859,0.9609885039923569,-56.02884988659713,406,0,377.1178711167853
None,False,M,10,21,100,628.7087224347318,1.0859236463414226,-42.317310071842165,382,0,500.37359055483125
None,False,M,10,42,None,503.8927829717582,0.9450189094971101,-72.45609954205543,345,0,375.5576510918577
None,False,M,10,42,20,348.5327576632309,0.8596341914887494,-67.98389703657044,355,0,220.19762578333032
None,False,M,10,42,50,375.7325350849546,0.8557808248682395,-76.61233888445167,346,0,247.39740320505402
None,False,M,10,42,100,523.7116081235963,1.009498363323429,-64.75388539076332,323,0,395.3764762436957
None,False,M,10,63,None,1102.6449887870078,1.214942811820531,-49.52544292036786,279,0,974.3098569071072
None,False,M,10,63,20,664.6005409397727,1.1079952650439164,-46.66030841098294,324,0,536.2654090598721
None,False,M,10,63,50,668.7304603532041,1.0797007016813551,-57.80700683608699,291,0,540.3953284733035
None,False,M,10,63,100,840.565950338951,1.1577102486828845,-51.1921353453421,267,0,712.2308184590504
2%,True,M,3,21,None,32751.649437111086,3.0579535461952765,-3.907966135072744,144,140,32623.314305231186
2%,True,M,3,21,20,30854.88352275295,3.036270734001477,-3.9079661350727255,144,140,30726.54839087305
2%,True,M,3,21,50,30843.49148946617,3.0321051447923693,-3.907966135072728,144,138,30715.15635758627
2%,True,M,3,21,100,33528.23366763852,3.1428281746236517,-3.907966135072713,138,135,33399.89853575861
2%,True,M,3,42,None,12259.033260495065,2.687842042437512,-2.698634806135454,144,142,12130.698128615164
2%,True,M,3,42,20,13422.36628198287,2.7243304104249995,-2.9588482862970023,144,139,13294.031150102968
