config,return,sharpe,max_dd,trades,win_rate
3% fixed,20066.542590684923,1.7992302222880714,-36.08614720906543,1172,22.525597269624573
3% trailing,820344.5808281804,6.720899032756815,-4.377005546994655,1210,38.099173553719005
5% trailing,261533.92172504918,5.91088769312982,-5.574200329726603,1210,37.1900826446281
3% trail + High Vol,25937.325595846887,6.9300762767595145,-4.377005546994655,942,37.15498938428875
3% trail + Low Vol,911.621341302311,4.674763877600507,-5.129256032712911,1384,44.21965317919075
3% trail + EMA50,195099.53905894267,7.246172418638197,-3.2151095945078763,1997,39.559339008512765
3% trail + EMA50 + HighVol,10333.794577036953,7.6911298621493644,-3.1666900703809167,1547,38.590820943762125
1% trailing,479328.98995421274,6.085152305895077,-0.8187210168064251,1210,37.35537190082645
2% trailing,747451.6370389396,5.982409120051581,-2.4926802786928755,1210,38.18181818181819
