config,return,sharpe,max_dd,trades,stopped,stop_pct,win_rate,avg_win,avg_loss
3% Fixed Stop,1007.0459602802939,1.7766429360639024,-19.656768713273593,208,104,50.0,46.63461538461539,12.620096188384906,-4.205043924962246
3% Trailing Stop,1975.2019357451993,3.5572161468948664,-5.852887318503922,230,207,90.0,56.086956521739125,7.168440584399142,-3.28648953876257
5% Fixed Stop,898.8205186134172,1.6947847923281547,-23.287075355414295,204,76,37.254901960784316,54.41176470588235,12.68328251115987,-5.563254533954565
5% Trailing Stop,1541.9005091732731,2.8222373696953853,-15.549625925093755,217,163,75.11520737327189,54.83870967741935,8.950942976483567,-3.8209019618413858
10% Fixed Stop,592.2025611986907,1.4631030795076725,-33.651126911969364,199,40,20.100502512562816,60.80402010050251,12.481835589828748,-7.605071896746374
10% Trailing Stop,686.2660215667717,1.7016379060212126,-18.405707234971466,207,84,40.57971014492754,60.38647342995169,11.156666865696122,-6.341032484568992
No Stop,492.62676373708007,1.3536686344886906,-33.376692521466495,195,0,0.0,63.589743589743584,12.323752692129506,-6.679098398367884
