momentum,top_n,stop_loss,universe_size,total_return,annual_return,sharpe,max_dd,trades,stopped,win_rate
ret_1m,10,0.03,100,2345.892162513271,96.15434427508782,1.9623261669656478,-36.04370992399046,512,306,29.6875
ret_1m,10,0.03,200,4315.902104338859,122.16201230415784,2.065017713613089,-39.675736062508946,535,312,27.663551401869157
ret_1m,10,0.03,500,4092.5510564484666,119.74525995646981,2.12338778339259,-29.793255297515458,550,276,16.363636363636363
ret_1m,10,0.03,1000,932.5798382704754,63.55856237984294,1.6445747071959083,-29.79325529751548,564,227,7.801418439716312
ret_1m,10,0.05,100,1729.5914638542395,84.51313332497116,1.8574965514916455,-36.825495157672265,506,255,36.16600790513834
ret_1m,10,0.05,200,3745.243364069686,115.77707958324446,2.0392757873996583,-40.909677650937596,530,262,34.71698113207547
ret_1m,10,0.05,500,3012.292776723008,106.37178694456458,2.034726940899779,-29.79325529751548,548,252,20.072992700729927
ret_1m,10,0.05,1000,971.6304826534637,64.84307091627579,1.6366005420922045,-29.793255297515476,564,217,9.042553191489363
ret_1m,10,0.1,100,938.2878663727266,63.74868570346442,1.5029842383652638,-44.969017794210885,496,165,42.74193548387097
ret_1m,10,0.1,200,1901.279556246608,88.03397839369711,1.7386039214619713,-39.258441668319215,519,166,42.77456647398844
ret_1m,10,0.1,500,1289.7149070459611,74.12416900424408,1.598661771520776,-29.793255297515476,547,198,25.59414990859232
ret_1m,10,0.1,1000,1078.8646350568667,68.18965173806481,1.6792358327719432,-29.793255297515465,564,194,12.411347517730496
ret_1m,20,0.03,100,1092.2271939693437,68.58962963752549,2.154740995958091,-28.380846719670195,992,577,31.653225806451612
ret_1m,20,0.03,200,1829.8844490273289,86.59999192499635,2.1398705802981643,-30.389093287984597,1037,600,29.701060752169724
ret_1m,20,0.03,500,2436.6077868306174,97.66554892392256,2.4149515351727344,-23.682827909526072,1077,565,20.42711234911792
ret_1m,20,0.03,1000,1804.7107654065896,86.0843842550212,2.492933544127018,-20.944069103845916,1117,459,10.474485228290064
ret_1m,20,0.05,100,854.6329412079901,60.875450459997516,1.9938957818816996,-28.391528748374828,978,468,37.93456032719836
ret_1m,20,0.05,200,1401.3616075236282,76.98292654979765,2.0050726747593886,-30.60617058896747,1024,503,36.03515625
ret_1m,20,0.05,500,1825.304193908108,86.50657574569556,2.2481619765136722,-24.51512898870928,1073,500,25.256290773532154
ret_1m,20,0.05,1000,1784.4117140020326,85.66468718325662,2.4803908388973794,-20.695682588531874,1117,426,12.981199641897941
ret_1m,20,0.1,100,456.8705047738315,43.60167976206459,1.5216690626225882,-32.651235470843325,958,266,44.258872651356995
ret_1m,20,0.1,200,830.1887030944193,59.99843174751849,1.6759356644979695,-33.76998430033833,1005,305,43.28358208955223
ret_1m,20,0.1,500,911.0874293213224,62.83516490661902,1.8033872875851953,-25.52380272440862,1065,351,32.018779342723
ret_1m,20,0.1,1000,1293.6890425164065,74.22898593415843,2.299912805877594,-23.130901831175354,1114,354,17.594254937163374
ret_1m,30,0.03,100,710.1001478541144,55.404849390759516,2.1716852064976213,-20.3254677848516,1395,810,32.903225806451616
ret_1m,30,0.03,200,1261.512913235816,73.3734720866328,2.2334047389677614,-28.861060675094574,1520,865,31.25
ret_1m,30,0.03,500,1478.02125441489,78.85008032624417,2.3854781731999166,-27.282884392183206,1598,858,22.090112640801003
ret_1m,30,0.03,1000,2257.600694470769,94.64042731764373,2.838187031172264,-20.701709377641507,1648,721,11.95388349514563
ret_1m,30,0.05,100,557.4334419410422,48.714492471663064,1.9635046881119622,-20.25320081959506,1368,649,38.59649122807017
ret_1m,30,0.05,200,982.3765381022248,65.19005368938133,2.074622066376242,-26.442654300547407,1493,723,36.570663094440725
ret_1m,30,0.05,500,1109.5595718408206,69.10319735696045,2.1724570060581745,-27.950016083556907,1586,739,27.30138713745271
ret_1m,30,0.05,1000,2105.5119317230924,91.9242579921735,2.825940680558118,-21.222321044347677,1644,658,15.085158150851582
ret_1m,30,0.1,100,316.4816616154073,35.07439639333405,1.4609656263172035,-27.26535876725326,1331,342,44.552967693463565
ret_1m,30,0.1,200,563.6966010874936,49.01194205224313,1.6681224759807591,-26.990465140797404,1464,405,43.71584699453552
ret_1m,30,0.1,500,579.6346073389738,49.7589989747496,1.6622381025604673,-28.921096614782538,1569,497,34.09815168897387
ret_1m,30,0.1,1000,1563.8902420891202,80.85837712079747,2.499688280023044,-22.08703014498783,1635,516,20.733944954128443
ret_1m,50,0.03,100,476.77930802364494,44.668653749176414,2.0965311419538737,-14.796925135129241,2037,1231,31.566028473244966
ret_1m,50,0.03,200,836.7613228993538,60.2360175905545,2.3291999652366164,-18.00484781108435,2408,1399,31.81063122923588
ret_1m,50,0.03,500,1108.6709425614195,69.07700852667,2.521805231304515,-23.126968029325365,2595,1382,26.011560693641616
ret_1m,50,0.03,1000,2063.7604136271475,91.15280952880195,3.126488691922406,-20.51751355530348,2685,1243,14.860335195530727
ret_1m,50,0.05,100,381.19302924142363,39.24875253199964,1.8510678428712624,-16.129364700696264,1943,952,38.34276891405044
ret_1m,50,0.05,200,653.509494700067,53.05123135439263,2.1152805603758624,-16.70431326298466,2359,1110,37.89741415854175
ret_1m,50,0.05,500,827.6264225739548,59.90545187790448,2.23744954188653,-24.541294204293884,2570,1178,30.93385214007782
ret_1m,50,0.05,1000,1826.3998017829322,86.52893706419317,2.9837072758336705,-20.9053637430435,2677,1125,18.22936122525215
ret_1m,50,0.1,100,239.45558558373062,29.376883666743936,1.3887638742763415,-24.7451934268468,1818,480,44.884488448844884
ret_1m,50,0.1,200,372.9495454388765,38.74259687070849,1.6025801506792747,-21.794885106451854,2303,575,44.63742943986105
ret_1m,50,0.1,500,466.1690016908998,44.103698767172325,1.694407734527233,-25.900908318166678,2537,730,37.839968466692945
ret_1m,50,0.1,1000,1226.8342311151391,72.43336179770348,2.4869341893651167,-22.085591765817412,2651,844,24.141833270463977
ret_1m,100,0.03,100,195.96376576381078,25.692207523461352,1.7065492069112247,-23.002722442115196,1530,1109,22.54901960784314
