entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,hold_days,year
2020-03-31,2020-04-01,ESPO,36.67585372924805,35.458675384521484,-3.3187457712971935,stop_loss,1,2020
2020-03-31,2020-04-08,FRN,0.02500000037252903,0.019999999552965164,-20.00000298023219,stop_loss,8,2020
2020-03-31,2020-04-30,UUP,23.92011833190918,23.884456634521484,-0.14908662613145607,rebalance,30,2020
2020-03-31,2020-04-30,FXY,88.19000244140625,88.30999755859375,0.13606430872616926,rebalance,30,2020
2020-03-31,2020-04-30,FXS,94.48999786376953,94.48999786376953,0.0,rebalance,30,2020
2020-03-31,2020-04-30,FXF,95.41011810302734,95.06031799316406,-0.3666278973531445,rebalance,30,2020
2020-03-31,2020-04-30,GLD,148.0500030517578,158.8000030517578,7.261060302877431,rebalance,30,2020
2020-03-31,2020-04-30,FXE,99.48389434814453,98.75896453857422,-0.7286906230604684,rebalance,30,2020
2020-03-31,2020-04-30,CYB,24.46658706665039,24.55013084411621,0.3414606918334506,rebalance,30,2020
2020-03-31,2020-04-30,UDN,17.89763069152832,17.861801147460938,-0.20019154873019973,rebalance,30,2020
2020-04-30,2020-05-01,FCG,6.483376502990723,6.001560211181641,-7.431564271900982,stop_loss,1,2020
2020-04-30,2020-05-01,XOP,47.708744049072266,43.89098358154297,-8.002223792775654,stop_loss,1,2020
2020-04-30,2020-05-01,AMLP,15.593241691589355,14.802943229675293,-5.068211456892458,stop_loss,1,2020
2020-04-30,2020-05-01,RIOT,1.2100000381469727,1.0700000524520874,-11.570246386874917,stop_loss,1,2020
2020-04-30,2020-05-01,GBTC,8.91598892211914,8.550135612487793,-4.1033396612205735,stop_loss,1,2020
2020-04-30,2020-05-01,MLPX,17.48468589782715,16.79384422302246,-3.9511243086759684,stop_loss,1,2020
2020-04-30,2020-05-06,GDXJ,37.54231262207031,38.34226989746094,2.1308151243734086,stop_loss,6,2020
2020-04-30,2020-05-06,GDX,30.16080093383789,31.507099151611328,4.463734967538624,stop_loss,6,2020
2020-04-30,2020-05-11,SILJ,8.565947532653809,8.749176025390625,2.1390335632846202,stop_loss,11,2020
2020-04-30,2020-05-13,URNM,11.752230644226074,11.541678428649902,-1.791593629755872,stop_loss,13,2020
2020-06-30,2020-07-01,CLSK,2.5899999141693115,2.359999895095825,-8.880309911023843,stop_loss,1,2020
2020-06-30,2020-07-07,MARA,0.9100000262260437,0.8999999761581421,-1.0989065691980104,stop_loss,7,2020
2020-06-30,2020-07-10,ARKG,51.43019104003906,54.94038391113281,6.825160086146709,stop_loss,10,2020
2020-06-30,2020-07-13,KWEB,54.69671630859375,60.074554443359375,9.832104187798718,stop_loss,13,2020
2020-06-30,2020-07-13,HERO,22.184598922729492,23.23231315612793,4.722709826973648,stop_loss,13,2020
2020-06-30,2020-07-13,ARKW,81.50088500976562,89.55972290039062,9.88803727672327,stop_loss,13,2020
2020-06-30,2020-07-13,ARKK,69.03662872314453,75.64888763427734,9.577899491079943,stop_loss,13,2020
2020-06-30,2020-07-14,CQQQ,62.61427307128906,69.95281219482422,11.720233684067383,stop_loss,14,2020
2020-06-30,2020-07-16,NERD,20.248533248901367,21.356996536254883,5.474289291614043,stop_loss,16,2020
2020-06-30,2020-07-28,PBW,36.36361312866211,42.28847122192383,16.293370167310716,stop_loss,28,2020
2020-07-31,2020-08-03,CLSK,7.25,6.550000190734863,-9.655169782967398,stop_loss,3,2020
2020-07-31,2020-08-04,MARA,2.0299999713897705,3.309999942779541,63.05418667141469,stop_loss,4,2020
2020-07-31,2020-08-07,SILJ,14.282686233520508,14.475075721740723,1.347011935112663,stop_loss,7,2020
2020-07-31,2020-08-07,SIL,45.192562103271484,46.127445220947266,2.0686658913903644,stop_loss,7,2020
2020-07-31,2020-08-07,GBTC,11.576332092285156,11.797651290893555,1.9118248927558978,stop_loss,7,2020
2020-07-31,2020-08-07,GDXJ,56.22044372558594,56.69483947753906,0.8438136032306476,stop_loss,7,2020
2020-07-31,2020-08-07,GDX,40.145835876464844,39.958858489990234,-0.4657454064475597,stop_loss,7,2020
2020-07-31,2020-08-11,SLV,22.649999618530273,23.329999923706055,3.00220890343621,stop_loss,11,2020
2020-07-31,2020-08-11,TAN,44.70417404174805,49.34244155883789,10.37546854742979,stop_loss,11,2020
2020-07-31,2020-08-31,ITB,49.56953811645508,52.36178207397461,5.632983609731523,stop_loss,31,2020
2020-08-31,2020-09-01,UNG,56.560001373291016,54.0,-4.526169220533138,stop_loss,1,2020
2020-08-31,2020-09-02,CLSK,10.079999923706055,9.529999732971191,-5.456351139858418,stop_loss,2,2020
2020-08-31,2020-09-02,RIOT,3.5,3.430000066757202,-1.9999980926513672,stop_loss,2,2020
2020-08-31,2020-09-02,MARA,2.4800000190734863,2.380000114440918,-4.032254188043427,stop_loss,2,2020
2020-08-31,2020-09-03,TAN,56.40413284301758,52.232669830322266,-7.395669080322909,stop_loss,3,2020
2020-08-31,2020-09-03,BETZ,19.430686950683594,19.07686424255371,-1.8209480139735112,stop_loss,3,2020
2020-08-31,2020-09-03,QCLN,42.377994537353516,39.42298126220703,-6.972989891113956,stop_loss,3,2020
2020-08-31,2020-09-03,PBW,50.826717376708984,48.41022491455078,-4.754374444936205,stop_loss,3,2020
2020-08-31,2020-09-03,ICLN,16.092220306396484,15.275407791137695,-5.0758223520847245,stop_loss,3,2020
2020-08-31,2020-09-03,ACES,51.20709991455078,48.05795669555664,-6.149817553130543,stop_loss,3,2020
2020-09-30,2020-10-05,CLSK,12.489999771118164,12.199999809265137,-2.3218572231171852,stop_loss,5,2020
2020-09-30,2020-10-12,TAN,64.34976959228516,72.62317657470703,12.85693334232818,stop_loss,12,2020
2020-09-30,2020-10-19,BETZ,21.0916805267334,21.062196731567383,-0.13978874337986502,stop_loss,19,2020
2020-09-30,2020-10-19,ICLN,17.35969352722168,19.4627628326416,12.114668396202411,stop_loss,19,2020
2020-09-30,2020-10-19,ITB,54.407257080078125,55.76144027709961,2.488975312665298,stop_loss,19,2020
2020-09-30,2020-10-21,PBW,54.39773941040039,60.080955505371094,10.447522556211442,stop_loss,21,2020
2020-09-30,2020-10-21,ACES,52.9940299987793,55.106903076171875,3.987002078236457,stop_loss,21,2020
2020-09-30,2020-10-26,MSTR,15.055999755859375,17.5,16.232733021860525,stop_loss,26,2020
2020-09-30,2020-10-28,EWY,59.7085075378418,60.33903503417969,1.0560094739234138,stop_loss,28,2020
2020-09-30,2020-11-13,NGE,4.684316158294678,6.134372234344482,30.955555241123967,stop_loss,44,2020
2020-11-30,2020-12-01,MSTR,34.277000427246094,32.400001525878906,-5.475971870266683,stop_loss,1,2020
2020-11-30,2020-12-01,MJ,158.24969482421875,149.95236206054688,-5.243190372587081,stop_loss,1,2020
2020-11-30,2020-12-02,MARA,6.28000020980835,5.760000228881836,-8.28025419671734,stop_loss,2,2020
2020-11-30,2020-12-02,RIOT,8.449999809265137,8.510000228881836,0.7100641535034313,stop_loss,2,2020
2020-11-30,2020-12-02,PBW,82.2320556640625,78.75050354003906,-4.233813804006559,stop_loss,2,2020
2020-11-30,2020-12-02,CLSK,10.899999618530273,11.0,0.9174347244904846,stop_loss,2,2020
2020-11-30,2020-12-04,ETHE,10.181889533996582,12.065045356750488,18.495150791669722,stop_loss,4,2020
2020-11-30,2020-12-04,GBTC,20.952123641967773,20.975610733032227,0.11209885673548747,stop_loss,4,2020
2020-11-30,2020-12-09,REMX,49.784244537353516,51.915794372558594,4.281575134891846,stop_loss,9,2020
2020-11-30,2020-12-09,MSOS,33.72360610961914,33.60395050048828,-0.3548126162484455,stop_loss,9,2020
2020-12-31,2021-01-04,CLSK,29.049999237060547,26.65999984741211,-8.227192607287215,stop_loss,4,2021
2020-12-31,2021-01-04,RIOT,16.989999771118164,16.479999542236328,-3.0017671321503014,stop_loss,4,2021
2020-12-31,2021-01-04,ETHE,13.79003620147705,10.676156997680664,-22.580645607463012,stop_loss,4,2021
2020-12-31,2021-01-06,BUG,27.556407928466797,26.414731979370117,-4.143050691005657,stop_loss,6,2021
2020-12-31,2021-01-08,URNM,18.924819946289062,20.490861892700195,8.275069199367557,stop_loss,8,2021
2020-12-31,2021-01-08,URA,13.180487632751465,14.100455284118652,6.979769466807961,stop_loss,8,2021
2020-12-31,2021-01-11,MARA,10.4399995803833,23.360000610351562,123.75480411172495,stop_loss,11,2021
