left_bars,right_bars,sma_length,regime,sharpe,return,max_dd,trades,win_rate,pnl
2,1,20,none,0.18009751437176652,-0.02875,-0.5365,1276,0.45846394984326017,-2875.0
2,1,20,trend_follow,0.7120438653526429,0.2105,-0.107375,734,0.43869209809264303,21050.0
2,1,20,mean_revert,0.7903147723598242,0.244125,-0.1765,1242,0.46215780998389694,24412.5
2,1,50,none,0.34942318964269337,0.095375,-0.41840900655697144,1273,0.4587588373919874,9537.5
2,1,50,trend_follow,0.6027207119046828,0.177,-0.13425,753,0.44754316069057104,17700.0
2,1,50,mean_revert,0.2636282079562947,0.0315,-0.3244422285927957,1210,0.46198347107438015,3150.0
2,1,100,none,0.4956846109933275,0.172125,-0.335625,1266,0.4589257503949447,17212.5
2,1,100,trend_follow,0.683119658771416,0.133,-0.12829489291598023,738,0.45934959349593496,13300.0
2,1,100,mean_revert,0.9684640024551359,0.206875,-0.1318127962085308,1154,0.46360485268630847,20687.5
2,1,200,none,1.464707438403748,0.486125,-0.10837118754055808,1250,0.4616,48612.5
2,1,200,trend_follow,0.7841970132929666,0.151125,-0.102,791,0.4664981036662453,15112.5
2,1,200,mean_revert,0.5908302334844183,0.12075,-0.1317415436171327,1059,0.4683663833805477,12075.0
2,2,20,none,0.5965166013717506,0.264875,-0.355625,1062,0.4397363465160075,26487.5
2,2,20,trend_follow,0.8299379678491138,0.286,-0.08689616879511383,643,0.41835147744945567,28600.0
2,2,20,mean_revert,-0.05581494130783158,-0.27475,-0.66675,1028,0.44260700389105057,-27475.0
2,2,50,none,0.6841579521243346,0.310375,-0.31729341909945574,1059,0.4400377714825307,31037.5
2,2,50,trend_follow,0.9367196624839331,0.316625,-0.12222126856063857,640,0.409375,31662.5
2,2,50,mean_revert,1.2599484964774643,0.453875,-0.07628791958355771,1002,0.4431137724550898,45387.5
2,2,100,none,0.8153003652525405,0.3735,-0.247,1054,0.4411764705882353,37350.0
2,2,100,trend_follow,1.2144583853760915,0.39325,-0.1374841168996188,628,0.428343949044586,39325.0
2,2,100,mean_revert,1.3924929648055844,0.439625,-0.07350756052792588,953,0.4459601259181532,43962.5
2,2,200,none,1.3175476513197526,0.5535,-0.09160504567203132,1040,0.44326923076923075,55350.0
2,2,200,trend_follow,0.41577966562122637,0.081,-0.13735325506937032,658,0.4331306990881459,8100.0
2,2,200,mean_revert,0.40354611411999164,0.112,-0.124375,872,0.45298165137614677,11200.0
2,3,20,none,0.16454003221136532,-0.009,-0.3025,871,0.42365097588978184,-900.0
2,3,20,trend_follow,-0.007339957552470777,-0.06525,-0.2285,565,0.431858407079646,-6525.0
2,3,20,mean_revert,-0.30631558526368174,-0.255,-0.3645,849,0.42402826855123676,-25500.0
2,3,50,none,0.28423409589736304,0.062625,-0.230875,869,0.4234752589182969,6262.5
2,3,50,trend_follow,0.5406250877836838,0.1595,-0.15025094102885822,543,0.43278084714548803,15950.0
2,3,50,mean_revert,1.0971554264118346,0.39225,-0.10858251742083444,827,0.4268440145102781,39225.0
2,3,100,none,0.4881941386201713,0.159375,-0.15964587994941143,865,0.4254335260115607,15937.5
2,3,100,trend_follow,0.844057140537601,0.20025,-0.15749488652965812,520,0.4461538461538462,20025.0
2,3,100,mean_revert,1.5827743099332012,0.57625,-0.08066958947787964,781,0.43405889884763127,57625.0
2,3,200,none,0.7116356967280127,0.24125,-0.15008231205414305,856,0.4264018691588785,24125.0
2,3,200,trend_follow,0.07047844641255763,-0.00375,-0.17652400953570213,544,0.4338235294117647,-375.0
2,3,200,mean_revert,-0.15424651634534814,-0.012125,-0.177625,712,0.4339887640449438,-1212.5
3,1,20,none,0.37936858553211594,0.11125,-0.39625,938,0.5127931769722814,11125.0
3,1,20,trend_follow,1.1662234145459487,0.344625,-0.08127381068672462,531,0.4915254237288136,34462.5
3,1,20,mean_revert,0.6685336433587955,0.201625,-0.244,916,0.5152838427947598,20162.5
3,1,50,none,0.6119466119516201,0.234125,-0.2808363231473463,936,0.5138888888888888,23412.5
3,1,50,trend_follow,0.9051619461554358,0.282,-0.095125,559,0.5026833631484794,28200.0
3,1,50,mean_revert,1.5108923280197741,0.434,-0.09212110786168931,893,0.5139977603583427,43400.0
3,1,100,none,0.6526979139821998,0.2525,-0.255,932,0.5128755364806867,25250.0
3,1,100,trend_follow,0.6668044947315417,0.140375,-0.11975,545,0.5137614678899083,14037.5
3,1,100,mean_revert,1.4397095648307887,0.31825,-0.0799733739064283,855,0.5146198830409356,31825.0
3,1,200,none,1.4418546161563721,0.4915,-0.1012363943781042,923,0.5135427952329361,49150.0
3,1,200,trend_follow,0.6202397301714844,0.130625,-0.168,578,0.5224913494809689,13062.5
3,1,200,mean_revert,0.7416440359608123,0.154375,-0.09149692854833495,782,0.5179028132992327,15437.5
3,2,20,none,0.5893392521336462,0.251875,-0.3302808302808303,846,0.46808510638297873,25187.5
3,2,20,trend_follow,0.7914069161475298,0.274875,-0.08175,506,0.44861660079051385,27487.5
3,2,20,mean_revert,-0.08875389400544356,-0.292,-0.642375,821,0.4701583434835566,-29200.0
3,2,50,none,0.568236760071612,0.238625,-0.3346115784265215,844,0.46800947867298576,23862.5
3,2,50,trend_follow,0.5588386501194895,0.180125,-0.12575,506,0.43478260869565216,18012.5
3,2,50,mean_revert,1.427221707972932,0.51725,-0.08242074927953891,801,0.47440699126092384,51725.0
3,2,100,none,0.7037519302269919,0.308125,-0.258125,840,0.46904761904761905,30812.5
3,2,100,trend_follow,1.1214520429897785,0.35025,-0.1362248563218391,498,0.45582329317269077,35025.0
