entry_date,exit_date,direction,entry_price,exit_price,return
2016-04-04,2016-05-02,long,176.22557067871094,177.6952362060547,0.006339683745574013
2016-05-02,2016-05-27,short,177.6952362060547,179.634765625,-0.01291492073932833
2016-05-27,2016-06-20,long,179.634765625,178.51622009277344,-0.008226776472443
2016-06-20,2016-06-22,short,178.51622009277344,178.73094177246094,-0.0032028132770003247
2016-06-22,2016-06-27,long,178.73094177246094,171.4304962158203,-0.04284600844287324
2016-06-27,2016-07-07,short,171.4304962158203,179.95913696289062,-0.05174984577034232
2016-07-07,2016-08-24,long,179.95913696289062,187.10487365722656,0.03770755147491878
2016-08-24,2016-10-03,short,187.10487365722656,186.2632293701172,0.002498248873256264
2016-10-03,2016-10-12,long,186.2632293701172,184.4763641357422,-0.01159322589014272
2016-10-12,2016-11-10,short,184.4763641357422,187.2472686767578,-0.017020377022265713
2016-11-10,2017-01-19,long,187.2472686767578,196.15689086914062,0.04558212098550479
2017-01-19,2017-01-26,short,196.15689086914062,199.12648010253906,-0.01713884737997554
2017-01-26,2017-03-22,long,199.12648010253906,204.30953979492188,0.024028982633117528
2017-03-22,2017-04-25,short,204.30953979492188,208.0333251953125,-0.020226194450481454
2017-04-25,2017-06-30,long,208.0333251953125,211.89588928222656,0.01656704488710011
2017-06-30,2017-07-14,short,211.89588928222656,215.19081115722656,-0.017549720601759557
2017-07-14,2017-08-14,long,215.19081115722656,216.04965209960938,0.0019910669873134624
2017-08-14,2017-09-05,short,216.04965209960938,215.62905883789062,-5.3256473077604874e-05
2017-09-05,2017-11-17,long,215.62905883789062,227.09107971191406,0.05115619766555005
2017-11-17,2017-11-21,short,227.09107971191406,228.96693420410156,-0.01026036185378657
2017-11-21,2018-02-06,long,228.96693420410156,238.22779846191406,0.03844629540070335
2018-02-06,2018-03-09,short,238.22779846191406,246.84945678710938,-0.03819081560111749
2018-03-09,2018-03-23,long,246.84945678710938,229.3348846435547,-0.07295244353184782
2018-03-23,2018-04-18,short,229.3348846435547,240.30178833007812,-0.049820477480209006
2018-04-18,2018-06-25,long,240.30178833007812,241.92529296875,0.004756107184861362
2018-06-25,2018-07-11,short,241.92529296875,247.15663146972656,-0.023623776649315892
2018-07-11,2018-10-08,long,247.15663146972656,258.10382080078125,0.04229251712145775
2018-10-08,2018-11-09,short,258.10382080078125,249.0825653076172,0.03295204164423108
2018-11-09,2018-11-20,long,249.0825653076172,236.8507843017578,-0.051107335114977295
2018-11-20,2018-11-29,short,236.8507843017578,245.69288635253906,-0.03933195174695323
2018-11-29,2018-12-11,long,245.69288635253906,236.85975646972656,-0.03795191547441893
2018-12-11,2019-01-11,short,236.85975646972656,233.5977020263672,0.011772092363762535
2019-01-11,2019-03-11,long,233.5977020263672,251.15045166015625,0.07314093452771983
2019-03-11,2019-03-15,short,251.15045166015625,254.8568115234375,-0.016757528162029762
2019-03-15,2019-03-28,long,254.8568115234375,254.3131561279297,-0.004133179773607174
2019-03-28,2019-04-01,short,254.3131561279297,258.9517822265625,-0.020239819635203604
2019-04-01,2019-05-09,long,258.9517822265625,259.70367431640625,0.0009035988220614114
2019-05-09,2019-06-11,short,259.70367431640625,261.7331237792969,-0.0098144811321309
2019-06-11,2019-08-02,long,261.7331237792969,266.3926086425781,0.015802427128827227
2019-08-02,2019-09-05,short,266.3926086425781,271.1266174316406,-0.01977079631895557
2019-09-05,2019-10-03,long,271.1266174316406,265.61083984375,-0.022343917687393133
2019-10-03,2019-10-17,short,265.61083984375,273.7139892578125,-0.03250760058900199
2019-10-17,2020-01-31,long,273.7139892578125,295.6927185058594,0.07829815833543315
2020-01-31,2020-02-06,short,295.6927185058594,306.9513854980469,-0.04007556387954951
2020-02-06,2020-02-25,long,306.9513854980469,287.3475646972656,-0.0658662072463784
2020-02-25,2020-04-08,short,287.3475646972656,253.33401489257812,0.1163707606519039
2020-04-08,2020-06-26,long,253.33401489257812,278.60955810546875,0.09777161268141697
2020-06-26,2020-07-08,short,278.60955810546875,293.5870056152344,-0.05575783807135523
2020-07-08,2020-09-10,long,293.5870056152344,310.031494140625,0.05401231733989698
2020-09-10,2020-10-08,short,310.031494140625,320.4925537109375,-0.0357419254753762
2020-10-08,2020-10-29,long,320.4925537109375,307.6274108886719,-0.04214178386768109
2020-10-29,2020-11-06,short,307.6274108886719,326.4403991699219,-0.06315511042043741
2020-11-06,2021-02-01,long,326.4403991699219,352.2395935058594,0.07703186738387811
2021-02-01,2021-02-04,short,352.2395935058594,361.5644836425781,-0.028473145860485542
2021-02-04,2021-02-26,long,361.5644836425781,356.10614013671875,-0.01709645928402409
2021-02-26,2021-03-12,short,356.10614013671875,368.93255615234375,-0.038018519677028295
2021-03-12,2021-05-12,long,368.93255615234375,380.80206298828125,0.030172565521802877
2021-05-12,2021-06-01,short,380.80206298828125,394.196533203125,-0.03717436357810895
2021-06-01,2021-09-14,long,394.196533203125,418.5742492675781,0.05984152830154791
2021-09-14,2021-10-18,short,418.5742492675781,422.7703552246094,-0.012024758963012184
2021-10-18,2021-11-30,long,422.7703552246094,430.68328857421875,0.016716859523902505
2021-11-30,2021-12-27,short,430.68328857421875,452.78350830078125,-0.053314319159504645
2021-12-27,2022-01-14,long,452.78350830078125,440.8865966796875,-0.02827505508259525
2022-01-14,2022-03-18,short,440.8865966796875,423.0326843261719,0.03849547545326453
2022-03-18,2022-04-18,long,423.0326843261719,416.79931640625,-0.0167349558340881
2022-04-18,2022-06-01,short,416.79931640625,389.79119873046875,0.06279885309950152
2022-06-01,2022-06-14,long,389.79119873046875,355.79779052734375,-0.08920927592475125
2022-06-14,2022-07-19,short,355.79779052734375,374.9209289550781,-0.05574720961417754
2022-07-19,2022-08-29,long,374.9209289550781,384.8227233886719,0.024410353941004326
2022-08-29,2022-10-21,short,384.8227233886719,359.20574951171875,0.06456824641584359
2022-10-21,2022-12-12,long,359.20574951171875,382.8718566894531,0.06388454447041719
2022-12-12,2022-12-13,short,382.8718566894531,385.7701416015625,-0.009569856236417425
2022-12-13,2022-12-15,long,385.7701416015625,373.9275207519531,-0.03269864557283665
2022-12-15,2023-01-12,short,373.9275207519531,382.71142578125,-0.02549092950321709
2023-01-12,2023-02-23,long,382.71142578125,386.2786865234375,0.00732101970800964
2023-02-23,2023-03-29,short,386.2786865234375,388.4206848144531,-0.007545214804093673
2023-03-29,2023-05-08,long,388.4206848144531,399.4437561035156,0.026379207699322636
2023-05-08,2023-05-19,short,399.4437561035156,405.1343078613281,-0.016246190285517437
2023-05-19,2023-08-08,long,405.1343078613281,435.9068908691406,0.07395649741503879
2023-08-08,2023-09-05,short,435.9068908691406,436.38287353515625,-0.0030919365488042147
2023-09-05,2023-09-21,long,436.38287353515625,420.5218505859375,-0.03834657524647548
2023-09-21,2023-10-17,short,420.5218505859375,425.03521728515625,-0.012732775699835846
2023-10-17,2023-10-19,long,425.03521728515625,415.6867980957031,-0.02399445789260627
2023-10-19,2023-11-06,short,415.6867980957031,424.7134704589844,-0.023715080692081662
2023-11-06,2024-04-10,long,424.7134704589844,504.7630310058594,0.1864789772746461
2024-04-10,2024-05-08,short,504.7630310058594,507.7770690917969,-0.007971194205588547
2024-05-08,2024-07-24,long,507.7770690917969,533.0938720703125,0.04785810608540656
2024-07-24,2024-08-19,short,533.0938720703125,551.197509765625,-0.03595956818075132
2024-08-19,2024-10-31,long,551.197509765625,561.809814453125,0.017253179666962687
2024-10-31,2024-11-07,short,561.809814453125,588.455810546875,-0.04942885476233208
2024-11-07,2024-12-19,long,588.455810546875,579.06005859375,-0.017966792722113087
2024-12-19,2025-01-22,short,579.06005859375,601.1723022460938,-0.04018644253593217
2025-01-22,2025-02-26,long,601.1723022460938,589.3756713867188,-0.021622711850330677
2025-02-26,2025-04-28,short,589.3756713867188,547.7078247070312,0.06869828074451881
2025-04-28,2025-06-23,long,547.7078247070312,598.49072265625,0.09071895645526427
2025-06-23,2025-06-25,short,598.49072265625,605.4414672851562,-0.013613788427758955
2025-06-25,2025-08-06,long,605.4414672851562,631.030517578125,0.04026511013147467
2025-08-06,2025-08-11,short,631.030517578125,634.1618041992188,-0.00696217937780811
2025-08-11,2025-10-15,long,634.1618041992188,665.1699829101562,0.046896320317009244
2025-10-15,2025-10-20,short,665.1699829101562,671.2999877929688,-0.011215696799776475
